clause_text,clause_type,domain
LICENSEE may terminate this Agreement upon ninety (90) days written notice.,Notice Period / Termination,Original Corporate
ITS will provide free technical support to customers who have           purchased ITS systems for a period of 30 days.,Warranty Duration,Original Corporate
"Such routine and general oversight review is to be requested at least twenty (20) business days in advance, limited to two (2) persons, completed within one (1) to two (2) business days and shall be offered to HEMISPHERX one (1) time each calendar year.",Other Corporate,Original Corporate
Any legal proceedings in connection with this agreement shall be initiated only in the competent courts in Bengaluru.,Jurisdiction & Venue,General
"Licensee shall be entitled to grant sublicenses under its license pursuant to Section 2.1 to Affiliates only, provided that any sublicense granted by Licensee under this Section 2.1.2 shall be made through a written agreement in the English language and shall be consistent with the terms of this Agreement.",License Grant,Original Corporate
Any legal proceedings in connection with this agreement shall be initiated only in the competent courts in New Delhi.,Jurisdiction & Venue,General
"""Product IP"" means (a) all Intellectual Property Rights in and to the Products, including all Product Updates, (b) any other Inventions and work products created or developed in connection with research and development or manufacturing efforts relating to the Products, including all Intellectual Property Rights therein and (c) all Intellectual Property Rights in and to the Mask Sets and Tooling, in each of the foregoing cases, that are owned or controlled by ENERGOUS, its Affiliates or any successor or assign.",License Grant,Original Corporate
"If performance is delayed by a force majeure event for more than 30 days, either party may terminate the contract.",Force Majeure,General
"Neither party shall be held liable for any delay or failure in performance due to acts of God, war, lockouts, or government restrictions.",Force Majeure,General
"The Employee shall receive a gross monthly salary of INR 210,000 subject to applicable tax deductions.",Salary/Compensation,Employment
The ownership of one percent (1%) or less of a publicly traded company will not be deemed to be prohibited by this Paragraph,Exclusivity,Original Corporate
The Exclusivity Period shall commence on the Effective Date and expire on the first anniversary thereof.,Exclusivity,Business
The Employee shall not engage in any business competing with the Employer's activities during employment and for 6 months thereafter.,Non-Compete,Employment
Each party shall provide a certificate of insurance (or evidence of self-insurance) evidencing such coverage to the other party upon request.,Other Corporate,Original Corporate
"Any dispute or difference arising out of this agreement shall be referred to sole arbitration in Chennai under the Arbitration and Conciliation Act, 1996.",Arbitration & Dispute Resolution,General
"Subject to Section 3.1, Consultant agrees that if, in the course of performing the Services, Consultant incorporates into any Invention or utilizes in the performance of the Services any pre-existing invention, discovery, original works of authorship, development, improvements, trade secret, concept, or other proprietary information or intellectual property right owned by Consultant or in which Consultant has an interest (""Prior Inventions""), (i) Consultant will provide the Company with prior written notice and (ii) the Company is hereby granted a nonexclusive, royalty-free, perpetual, irrevocable, transferable, worldwide license (with the right to grant and authorize sublicenses) to make, have made, use, import, offer for sale, sell, reproduce, distribute, modify, adapt, prepare derivative works of, display, perform, and otherwise exploit such Prior Inventions, without restriction, including, without limitation, as part of or in connection with such Invention, and to practice any method related thereto.",License Grant,Original Corporate
"The Employer agrees to pay the Employee a CTC of Rs. 245,000 per annum, paid in monthly installments.",Salary/Compensation,Employment
"The parties submit to the exclusive jurisdiction of the competent courts located within the city of Mumbai, India.",Jurisdiction & Venue,General
"This Agreement may be renewed for additional periods of one (1) year (each such additional period, a ""Renewal Term"") unless either Party provides notice of nonrenewal upon not less than [***] prior written notice to the other Party.",Notice Period / Termination,Original Corporate
