clause_text,risk_level,domain,clause_type,is_synthetic
"In the case of an audit initiated by the Management Committee and exercised by the F&ASC, the audited Party or Parties shall be permitted to recover the entire costs of the review or audit from the Parties in the proportions specified in Schedule B.",medium,Original Corporate,Audit Rights,False
Agent is granted a limited license and right to use all Intellectual Property for purposes of conducting the GOB Sale and otherwise marketing any or all of the Assets;,low,Original Corporate,License Grant,False
This Agreement shall terminate in the event of a significant change in          the management or ownership of mPhase or in the event mPhase is the          subject of any bankruptcy proceedings.,high,Original Corporate,Change Of Control,False
Supplier's agreement with any independent contractor to provide services to Bank of America in support of this Agreement shall likewise permit Bank of America to conduct the same inspections.,medium,Original Corporate,Audit Rights,False
Monthly Royalty Fee: Five percent (5%) of the Hotel's Gross Rooms   Revenue for the preceding calendar month,medium,Original Corporate,Revenue/Profit Sharing,False
"The Company or the Contractor may terminate this Agreement at any time in whole or in part as more  specifically provided below, and in such case, the Contractor will be paid fees incurred up to the date of such termination plus its expenses  accrued as of such date within 30 days of such termination.",high,Original Corporate,Termination For Convenience,False
"The Landlord may terminate this Agreement immediately without notice if the Tenant fails to pay rent on the due date, and all belongings of the Tenant shall be seized.",high,Rental,Termination,True
"If AbbVie notifies Harpoon in writing within [***] after receipt of such copy that AbbVie wishes to receive a license or sublicense (as applicable) under, and be subject to the rights and obligations of, the Proposed Future In-Licensed Rights as they apply to AbbVie and this Agreement, then the Proposed Future In-Licensed Rights shall automatically be included in the Harpoon Patents and/or Harpoon Know-How (as applicable) hereunder and AbbVie agrees to abide by all applicable terms and conditions of such license, sublicense or other agreement, as it relates to AbbVie and this Agreement, including payment of any financial obligations based upon AbbVie's practice of such intellectual property rights.",medium,Original Corporate,Rofr/Rofo/Rofn,False
This Agreement shall be governed by and construed in accordance with the laws  of the Illinois without giving effect to its conflict of laws principles.,low,Original Corporate,Governing Law,False
Each of us grants only the licenses expressly specified herein.,low,Original Corporate,License Grant,False
"Notwithstanding  paragraphs 4A, 4B and 4C above, CONSULTANT  shall not be required to wear ADAMS  GOLF [*****] in [*****] ads.",high,Original Corporate,Competitive Restriction Exception,False
"EXCEPT FOR LIABILITY ARISING UNDER SECTION 8 OF THIS AGREEMENT, IN NO         EVENT SHALL EITHER PARTY'S LIABILITY ARISING OUT OF THIS AGREEMENT OR         THE USE OR PERFORMANCE OF THE SOFTWARE EXCEED THE TOTAL AMOUNT ACTUALLY         PAID BY CORIO HEREUNDER FOR THE TRANSACTION WHICH THE LIABILITY RELATES         TO DURING THE TWELVE (12) MONTHS IMMEDIATELY PRIOR TO THE FILING OF THE         CAUSE OF ACTION TO WHICH THE LIABILITY RELATES. EXCEPT FOR LIABILITY         ARISING UNDER SECTION 8 OF THIS AGREEMENT, IN NO EVENT SHALL EITHER         PARTY HAVE ANY LIABILITY TO THE OTHER PARTY FOR ANY LOST PROFITS OR         COSTS OF PROCUREMENT OF SUBSTITUTE GOODS OR SERVICES, OR FOR ANY         INDIRECT, SPECIAL OR CONSEQUENTIAL DAMAGES HOWEVER CAUSED AND UNDER ANY         THEORY OF LIABILITY AND WHETHER OR NOT SUCH PARTY HAS BEEN ADVISED OF         THE POSSIBILITY OF SUCH DAMAGE.",high,Original Corporate,Cap On Liability,False
This Agreement is personal to the Consultant and the Consultant shall not have the right to assign any of Consultant's rights or delegate any of Consultant's duties without the express written consent of the Company.,high,Original Corporate,Anti-Assignment,False
"TouchStar shall provide to Reseller, the Other           Resellers, and its and their employees assistance relating to the           TouchStar Software as reasonably requested by Reseller, but in any           event in an amount not to exceed twenty (20) hours of assistance per           month.",medium,Original Corporate,Volume Restriction,False
"If we offer any such mandatory training programs, then you or your designated personnel must attend a minimum of seventy-five percent (75%) of the programs offered on an annual basis.",medium,Original Corporate,Minimum Commitment,False
"In the event that Flotek does not order the Minimum Quantity in a given Year, FCC may ship to Flotek the remaining quantity of Terpene Product prior to the end of such Year, and invoice Flotek as described in Section 6(c).",medium,Original Corporate,Minimum Commitment,False
"During the Term of this Agreement, LeadersOnline agrees to purchase from VerticalNet Banners and Newsletter Ads for a total price of at least *** ($***).",medium,Original Corporate,Minimum Commitment,False
"Sonos hereby authorizes IAC to use and to cause its Affiliates to use, the Marks as specified by Sonos on the Products and relevant documents solely for the purpose of this Agreement.",low,Original Corporate,License Grant,False
"RevMed entered into a written agreements with prior to the Effective Date, such right of Sanofi shall be to the extent RevMed has the right to permit Sanofi to do so under such written agreements, and provided further, that RevMed shall use Commercially Reasonable Efforts to secure such right for Sanofi where one does not exist).",medium,Original Corporate,Audit Rights,False
